date,density,type,manufacturer,part_number,price_usd,pct_change_vs_last_pull
2026-07-06,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,
2026-07-06,128Mb,NOR,Macronix,MX25L12833FZ2I-10G,4.08,
2026-07-06,128Mb,NOR,GigaDevice,GD25Q128ESIGR,1.5857,
2026-07-06,128Mb,NOR,ISSI,IS25LP128-JBLE,4.11,
2026-07-06,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,
2026-07-06,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,
2026-07-06,64Mb,NOR,GigaDevice,GD25Q64CSIG,0.86835,
2026-07-06,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,
2026-07-06,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,
2026-07-06,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,
2026-07-06,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.78763,
2026-07-06,32Mb,NOR,ISSI,IS25LP032D-JNLE,1.74,
2026-07-06,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,
2026-07-06,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,
2026-07-06,1Gb,NAND,ISSI,IS37SML01G1-LLI,10.7,
2026-07-06,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,
2026-07-06,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,
2026-07-07,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0.0
2026-07-07,128Mb,NOR,Macronix,MX25L12833FZ2I-10G,4.08,0.0
2026-07-07,128Mb,NOR,GigaDevice,GD25Q128ESIGR,1.5857,0.0
2026-07-07,128Mb,NOR,ISSI,IS25LP128-JBLE,4.11,0.0
2026-07-07,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0.0
2026-07-07,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0.0
2026-07-07,64Mb,NOR,GigaDevice,GD25Q64CSIG,0.86835,0.0
2026-07-07,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0.0
2026-07-07,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0.0
2026-07-07,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0.0
2026-07-07,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.78763,0.0
2026-07-07,32Mb,NOR,ISSI,IS25LP032D-JNLE,1.74,0.0
2026-07-07,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0.0
2026-07-07,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0.0
2026-07-07,1Gb,NAND,ISSI,IS37SML01G1-LLI,10.7,0.0
2026-07-07,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0.0
2026-07-07,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0.0
2026-07-08,128Mb,NOR,Winbond,W25Q128JVSIQ,DigiKey,3.97,0.0
2026-07-08,128Mb,NOR,Macronix,MX25L12833FZ2I-10G,DigiKey,4.08,0.0
2026-07-08,128Mb,NOR,GigaDevice,GD25Q128ESIGR,DigiKey,1.5857,0.0
2026-07-08,128Mb,NOR,ISSI,IS25LP128-JBLE,DigiKey,4.11,0.0
2026-07-08,64Mb,NOR,Winbond,W25Q64JVSSIQ,DigiKey,2.08,0.0
2026-07-08,64Mb,NOR,Macronix,MX25L6433FM2I-08G,DigiKey,1.76,0.0
2026-07-08,64Mb,NOR,GigaDevice,GD25Q64CSIG,DigiKey,0.86835,0.0
2026-07-08,64Mb,NOR,ISSI,IS25LP064A-JMLE,DigiKey,2.19,0.0
2026-07-08,32Mb,NOR,Winbond,W25Q32JVSSIQ,DigiKey,0.93,0.0
2026-07-08,32Mb,NOR,Macronix,MX25L3233FM2I-08G,DigiKey,1.23,0.0
2026-07-08,32Mb,NOR,GigaDevice,GD25Q32ESIGR,DigiKey,0.78763,0.0
2026-07-08,32Mb,NOR,ISSI,IS25LP032D-JNLE,DigiKey,1.74,0.0
2026-07-08,1Gb,NAND,Winbond,W25N01GVZEIG,DigiKey,3.57,0.0
2026-07-08,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,DigiKey,10.64,0.0
2026-07-08,1Gb,NAND,ISSI,IS37SML01G1-LLI,DigiKey,10.7,0.0
2026-07-08,2Gb,NAND,Winbond,W25N02KVZEIR,DigiKey,18.35,0.0
2026-07-08,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,DigiKey,14.85,0.0
2026-07-08,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0.0
2026-07-08,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,
2026-07-08,128Mb,NOR,GigaDevice,GD25Q128ESIGR,1.5857,0.0
2026-07-08,128Mb,NOR,ISSI,IS25LP128-JBLE,4.11,0.0
2026-07-08,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0.0
2026-07-08,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0.0
2026-07-08,64Mb,NOR,GigaDevice,GD25Q64ESIGR,0.99423,
2026-07-08,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0.0
2026-07-08,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0.0
2026-07-08,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0.0
2026-07-08,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.78763,0.0
2026-07-08,32Mb,NOR,ISSI,IS25LP032D-JNLE,1.74,0.0
2026-07-08,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0.0
2026-07-08,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0.0
2026-07-08,1Gb,NAND,ISSI,IS37SML01G1-LLI,10.7,0.0
2026-07-08,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0.0
2026-07-08,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0.0
